"","week","habit","year","total","goal","type_norm","group","unit","met_goal","goal_dist","goal_group"
"98",11,"Meeting Canceled",2026,50,1,0,"Fulfill","hr",1,49,"v_over"
"99",11,"Star Item Time",2026,1.33,2,0,"Fulfill","hr",0,-0.335,"middle"
"100",11,"Spanish Practice",2026,0,2,0,"Fulfill","count",0,-1,"bottom"
"101",11,"Exposure Therapy",2026,0,4,0,"Fulfill","count",0,-1,"bottom"
"102",11,"Sabbath",2026,0,1,0,"Fulfill","count",0,-1,"bottom"
"103",11,"Airplane Time",2026,0,30,0,"Fulfill","min",0,-1,"bottom"
"104",11,"Creative Time",2026,0,5,0,"Fulfill","hr",0,-1,"bottom"
"105",11,"Stranger Socializing",2026,8,3,0,"Social","hr",1,1.66666666666667,"v_over"
"106",11,"Friend Quality",2026,13.75,3,0,"Social","hr",1,3.58333333333333,"v_over"
"107",11,"Active Zone Minutes",2026,60,50,0,"Health","min",1,0.2,"over"
"108",11,"Meal Prep",2026,3,7,0,"Health","hr",0,-0.571428571428571,"middle"
"109",11,"Lift",2026,1,3,0,"Health","count",0,-0.666666666666667,"middle"
"110",11,"Finding Roommates",2026,1,1.5,0,"Family","hr",0,-0.333333333333333,"middle"
"111",11,"Helping Momo",2026,0,3,0,"Family","hr",0,-1,"bottom"
"112",11,"Convo with Dad",2026,0,1,0,"Family","count",0,-1,"bottom"
"113",11,"Family Help",2026,0,4,0,"Family","hr",0,-1,"bottom"
"114",11,"Eating Meals",2026,0,10,1,"Minimize","hr",0,-1,"bottom"
"115",11,"FT Routine",2026,0,6,1,"Minimize","hr",0,-1,"bottom"
"116",12,"Math",2026,12.08,15,0,"Work","hr",0,-0.194666666666667,"middle"
"117",12,"Non-Math",2026,1.37,3,0,"Work","hr",0,-0.543333333333333,"middle"
"118",12,"Library Trips",2026,1,3,0,"Work","count",0,-0.666666666666667,"middle"
"119",12,"Tutoring JB",2026,4.07,3,0,"Work","hr",1,0.356666666666667,"over"
"120",12,"Days I did enough",2026,0,3,0,"Work","count",0,-1,"bottom"
"121",12,"Meeting Canceled",2026,0,1,0,"Fulfill","hr",0,-1,"bottom"
"122",12,"Star Item Time",2026,0.33,2,0,"Fulfill","hr",0,-0.835,"bottom"
"123",12,"Spanish Practice",2026,0,2,0,"Fulfill","count",0,-1,"bottom"
"124",12,"Exposure Therapy",2026,0,4,0,"Fulfill","count",0,-1,"bottom"
"125",12,"Sabbath",2026,0,1,0,"Fulfill","count",0,-1,"bottom"
"126",12,"Airplane Time",2026,0,30,0,"Fulfill","min",0,-1,"bottom"
"127",12,"Creative Time",2026,0,5,0,"Fulfill","hr",0,-1,"bottom"
"128",12,"Stranger Socializing",2026,5.83,3,0,"Social","hr",1,0.943333333333333,"v_over"
"129",12,"Friend Quality",2026,12.5,3,0,"Social","hr",1,3.16666666666667,"v_over"
"130",12,"Active Zone Minutes",2026,59,50,0,"Health","min",1,0.18,"over"
"131",12,"Meal Prep",2026,0.5,7,0,"Health","hr",0,-0.928571428571429,"bottom"
"132",12,"Lift",2026,1,3,0,"Health","count",0,-0.666666666666667,"middle"
"133",12,"Finding Roommates",2026,1.89,1.5,0,"Family","hr",1,0.26,"over"
"134",12,"Helping Momo",2026,0,3,0,"Family","hr",0,-1,"bottom"
"135",12,"Convo with Dad",2026,0,1,0,"Family","count",0,-1,"bottom"
"136",12,"Family Help",2026,0,4,0,"Family","hr",0,-1,"bottom"
"137",12,"Eating Meals",2026,0,10,1,"Minimize","hr",0,-1,"bottom"
"138",12,"FT Routine",2026,0,6,1,"Minimize","hr",0,-1,"bottom"
"139",13,"Math",2026,4.52,15,0,"Work","hr",0,-0.698666666666667,"middle"
"140",13,"Non-Math",2026,5.6,3,0,"Work","hr",1,0.866666666666667,"v_over"
"141",13,"Library Trips",2026,3,3,0,"Work","count",1,0,"met"
"142",13,"Tutoring JB",2026,3.22,3,0,"Work","hr",1,0.0733333333333334,"met"
"143",13,"Days I did enough",2026,0,3,0,"Work","count",0,-1,"bottom"
"144",13,"Meeting Canceled",2026,30,1,0,"Fulfill","hr",1,29,"v_over"
"145",13,"Star Item Time",2026,2.25,2,0,"Fulfill","hr",1,0.125,"over"
"146",13,"Spanish Practice",2026,1,2,0,"Fulfill","count",0,-0.5,"middle"
"147",13,"Exposure Therapy",2026,3,4,0,"Fulfill","count",0,-0.25,"middle"
"148",13,"Sabbath",2026,0,1,0,"Fulfill","count",0,-1,"bottom"
"149",13,"Airplane Time",2026,0,30,0,"Fulfill","min",0,-1,"bottom"
"150",13,"Creative Time",2026,0,5,0,"Fulfill","hr",0,-1,"bottom"
"151",13,"Stranger Socializing",2026,7,3,0,"Social","hr",1,1.33333333333333,"v_over"
"152",13,"Friend Quality",2026,5,3,0,"Social","hr",1,0.666666666666667,"v_over"
"153",13,"Active Zone Minutes",2026,83,50,0,"Health","min",1,0.66,"v_over"
"154",13,"Meal Prep",2026,5,7,0,"Health","hr",0,-0.285714285714286,"middle"
"155",13,"Lift",2026,1,3,0,"Health","count",0,-0.666666666666667,"middle"
"156",13,"Finding Roommates",2026,0,1.5,0,"Family","hr",0,-1,"bottom"
"157",13,"Helping Momo",2026,3,3,0,"Family","hr",1,0,"met"
"158",13,"Convo with Dad",2026,0,1,0,"Family","count",0,-1,"bottom"
"159",13,"Family Help",2026,0,4,0,"Family","hr",0,-1,"bottom"
"160",13,"Eating Meals",2026,0,10,1,"Minimize","hr",0,-1,"bottom"
"161",13,"FT Routine",2026,0,6,1,"Minimize","hr",0,-1,"bottom"
"162",14,"Math",2026,7.78,15,0,"Work","hr",0,-0.481333333333333,"middle"
"163",14,"Non-Math",2026,3.02,3,0,"Work","hr",1,0.00666666666666667,"met"
"164",14,"Library Trips",2026,3,3,0,"Work","count",1,0,"met"
"165",14,"Tutoring JB",2026,2.25,3,0,"Work","hr",0,-0.25,"middle"
"166",14,"Days I did enough",2026,0,3,0,"Work","count",0,-1,"bottom"
"167",14,"Meeting Canceled",2026,60,1,0,"Fulfill","hr",1,59,"v_over"
"168",14,"Star Item Time",2026,0,2,0,"Fulfill","hr",0,-1,"bottom"
"169",14,"Spanish Practice",2026,0,2,0,"Fulfill","count",0,-1,"bottom"
"170",14,"Exposure Therapy",2026,0,4,0,"Fulfill","count",0,-1,"bottom"
"171",14,"Sabbath",2026,0,1,0,"Fulfill","count",0,-1,"bottom"
"172",14,"Airplane Time",2026,0,30,0,"Fulfill","min",0,-1,"bottom"
"173",14,"Creative Time",2026,0,5,0,"Fulfill","hr",0,-1,"bottom"
"174",14,"Stranger Socializing",2026,5,3,0,"Social","hr",1,0.666666666666667,"v_over"
"175",14,"Friend Quality",2026,7.33,3,0,"Social","hr",1,1.44333333333333,"v_over"
"176",14,"Active Zone Minutes",2026,58,50,0,"Health","min",1,0.16,"over"
"177",14,"Meal Prep",2026,7.88,7,0,"Health","hr",1,0.125714285714286,"over"
"178",14,"Lift",2026,0,3,0,"Health","count",0,-1,"bottom"
"179",14,"Finding Roommates",2026,4.19,1.5,0,"Family","hr",1,1.79333333333333,"v_over"
"180",14,"Helping Momo",2026,4.83,3,0,"Family","hr",1,0.61,"v_over"
"181",14,"Convo with Dad",2026,0,1,0,"Family","count",0,-1,"bottom"
"182",14,"Family Help",2026,0,4,0,"Family","hr",0,-1,"bottom"
"183",14,"Eating Meals",2026,0,10,1,"Minimize","hr",0,-1,"bottom"
"184",14,"FT Routine",2026,0,6,1,"Minimize","hr",0,-1,"bottom"
"185",15,"Math",2026,14,15,0,"Work","hr",0,-0.0666666666666667,"met"
"186",15,"Non-Math",2026,4.6,3,0,"Work","hr",1,0.533333333333333,"v_over"
"187",15,"Library Trips",2026,3,3,0,"Work","count",1,0,"met"
"188",15,"Tutoring JB",2026,0.55,3,0,"Work","hr",0,-0.816666666666667,"bottom"
"189",15,"Days I did enough",2026,0,3,0,"Work","count",0,-1,"bottom"
"190",15,"Meeting Canceled",2026,60,1,0,"Fulfill","hr",1,59,"v_over"
"191",15,"Star Item Time",2026,0,2,0,"Fulfill","hr",0,-1,"bottom"
"192",15,"Spanish Practice",2026,0,2,0,"Fulfill","count",0,-1,"bottom"
"193",15,"Exposure Therapy",2026,1,4,0,"Fulfill","count",0,-0.75,"bottom"
"194",15,"Sabbath",2026,1,1,0,"Fulfill","count",1,0,"met"
"195",15,"Airplane Time",2026,30,30,0,"Fulfill","min",1,0,"met"
"196",15,"Creative Time",2026,0,5,0,"Fulfill","hr",0,-1,"bottom"
"197",15,"Stranger Socializing",2026,10.67,3,0,"Social","hr",1,2.55666666666667,"v_over"
"198",15,"Friend Quality",2026,9.5,3,0,"Social","hr",1,2.16666666666667,"v_over"
"199",15,"Active Zone Minutes",2026,94,60,0,"Health","min",1,0.566666666666667,"v_over"
"200",15,"Meal Prep",2026,5.78,7,0,"Health","hr",0,-0.174285714285714,"middle"
"201",15,"Lift",2026,1,3,0,"Health","count",0,-0.666666666666667,"middle"
"202",15,"Finding Roommates",2026,1.58,1.5,0,"Family","hr",1,0.0533333333333334,"met"
"203",15,"Helping Momo",2026,0.67,3,0,"Family","hr",0,-0.776666666666667,"bottom"
"204",15,"Convo with Dad",2026,0,1,0,"Family","count",0,-1,"bottom"
"205",15,"Family Help",2026,0,4,0,"Family","hr",0,-1,"bottom"
"206",15,"Eating Meals",2026,0,10,1,"Minimize","hr",0,-1,"bottom"
"207",15,"FT Routine",2026,0,6,1,"Minimize","hr",0,-1,"bottom"
"208",16,"Math",2026,10.95,15,0,"Work","hr",0,-0.27,"middle"
"209",16,"Non-Math",2026,8.51,3,0,"Work","hr",1,1.83666666666667,"v_over"
