week,habit,year,new_name,goal,type_norm,group,unit
11,Exposure Therapy,2026,Exposure Therapy,4,0,Fulfill,count
11,2 a month Sabbath,2026,Sabbath,1,0,Fulfill,count
11,Airplane Time 30m,2026,Airplane Time,30,0,Fulfill,min
11,5 Hours Creative Time,2026,Creative Time,5,0,Fulfill,hr
11,2 Hours Stranger Socializing,2026,Stranger Socializing,3,0,Social,hr
11,2 hours Friend Quality Time,2026,Friend Quality,3,0,Social,hr
11,100 Active Zone Minutes,2026,Active Zone Minutes,50,0,Health,min
11,Meal Prep 5 and Hours,2026,Meal Prep,7,0,Health,hr
11,Lift 3 times,2026,Lift,3,0,Health,count
11,3h Finding Roommates,2026,Finding Roommates,1.5,0,Family,hr
11,Helping Momo,2026,Helping Momo,3,0,Family,hr
11,1 Convo with Dad,2026,Convo with Dad,1,0,Family,count
11,Family Help,2026,Family Help,4,0,Family,hr
11,Eating Meals,2026,Eating Meals,10,1,Minimize,hr
11,Morning and Night Routine,2026,FT Routine,6,1,Minimize,hr
10,"15 Hours of Math, new note taking",2026,Math,15,0,Work,hr
10,5 hours Non-Math Work,2026,Non-Math,3,0,Work,hr
10,Library Trips,2026,Library Trips,3,0,Work,count
10,3h Tutoring JB,2026,Tutoring JB,3,0,Work,hr
10,3 Days where I did enough! (6h goal),2026,Days I did enough,3,0,Work,count
10,"1 hr Meeting Canceled Time, Guilt Free",2026,Meeting Canceled,1,0,Fulfill,hr
10,2 hours Star Item Time,2026,Star Item Time,2,0,Fulfill,hr
10,10min Spanish Practice,2026,Spanish Practice,2,0,Fulfill,count
10,Exposure Therapy,2026,Exposure Therapy,4,0,Fulfill,count
10,2 a month Sabbath,2026,Sabbath,1,0,Fulfill,count
10,Airplane Time 30m,2026,Airplane Time,30,0,Fulfill,min
10,5 Hours Creative Time,2026,Creative Time,5,0,Fulfill,hr
10,2 Hours Stranger Socializing,2026,Stranger Socializing,3,0,Social,hr
10,2 hours Friend Quality Time,2026,Friend Quality,3,0,Social,hr
10,100 Active Zone Minutes,2026,Active Zone Minutes,50,0,Health,min
10,Meal Prep 5 and Hours,2026,Meal Prep,7,0,Health,hr
10,Lift 3 times,2026,Lift,3,0,Health,count
10,3h Finding Roommates,2026,Finding Roommates,1.5,0,Family,hr
10,Helping Momo,2026,Helping Momo,3,0,Family,hr
10,1 Convo with Dad,2026,Convo with Dad,1,0,Family,count
10,Family Help,2026,Family Help,4,0,Family,hr
10,Eating Meals,2026,Eating Meals,10,1,Minimize,hr
10,Morning and Night Routine,2026,FT Routine,6,1,Minimize,hr
9,"15 Hours of Math, new note taking",2026,Math,15,0,Work,hr
9,5 hours Non-Math Work,2026,Non-Math,3,0,Work,hr
9,Library Trips,2026,Library Trips,3,0,Work,count
9,3h Tutoring JB,2026,Tutoring JB,3,0,Work,hr
9,3 Days where I did enough! (6h goal),2026,Days I did enough,3,0,Work,count
9,"1 hr Meeting Canceled Time, Guilt Free",2026,Meeting Canceled,1,0,Fulfill,hr
9,2 hours Star Item Time,2026,Star Item Time,2,0,Fulfill,hr
9,10min Spanish Practice,2026,Spanish Practice,2,0,Fulfill,count
9,Exposure Therapy,2026,Exposure Therapy,4,0,Fulfill,count
9,2 a month Sabbath,2026,Sabbath,1,0,Fulfill,count
9,Airplane Time 30m,2026,Airplane Time,30,0,Fulfill,min
9,5 Hours Creative Time,2026,Creative Time,5,0,Fulfill,hr
9,2 Hours Stranger Socializing,2026,Stranger Socializing,3,0,Social,hr
9,2 hours Friend Quality Time,2026,Friend Quality,3,0,Social,hr
9,100 Active Zone Minutes,2026,Active Zone Minutes,50,0,Health,min
9,Meal Prep 5 and Hours,2026,Meal Prep,7,0,Health,hr
9,Lift 3 times,2026,Lift,3,0,Health,count
9,3h Finding Roommates,2026,Finding Roommates,1.5,0,Family,hr
9,Helping Momo,2026,Helping Momo,3,0,Family,hr
9,1 Convo with Dad,2026,Convo with Dad,1,0,Family,count
9,Family Help,2026,Family Help,4,0,Family,hr
9,Eating Meals,2026,Eating Meals,10,1,Minimize,hr
9,Morning and Night Routine,2026,FT Routine,6,1,Minimize,hr
8,"15 Hours of Math, new note taking",2026,Math,15,0,Work,hr
8,5 hours Non-Math Work,2026,Non-Math,3,0,Work,hr
8,Library Trips,2026,Library Trips,3,0,Work,count
8,3h Tutoring JB,2026,Tutoring JB,3,0,Work,hr
8,3 Days where I did enough! (6h goal),2026,Days I did enough,3,0,Work,count
8,"1 hr Meeting Canceled Time, Guilt Free",2026,Meeting Canceled,1,0,Fulfill,hr
8,2 hours Star Item Time,2026,Star Item Time,2,0,Fulfill,hr
8,10min Spanish Practice,2026,Spanish Practice,2,0,Fulfill,count
